ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
JAMAICAN CUISINE (see also CARIBBEAN CUISINES),,,,,"avocados

beans, e.g., black, red

bell peppers

black-eyed peas

cabbage

carrots

cilantro

coconut and coconut milk

curries

garlic

ginger

greens, mustard

jerk dishes, e.g., tempeh, tofu, vegetables

onions

oranges

plantains

raisins

rice

spinach

stews

sweet potatoes

tomatoes",,,,,,,,,,
JAPANESE CUISINE,,Flavor Affinities,,,"broccoli

broiled dishes

burdock root

carrots

chiles

daikon

DASHI

edamame

eggplant, Japanese

garlic

ginger

grilled dishes

gyoza

kelp

kinpira

kombu

mirin, i.e., rice wine

miso

MUSHROOMS, e.g., maitake, oyster, shiitake

noodles, Asian, e.g., ramen, soba

udon nori rolls, e.g., avocado, cucumber

pickled dishes

pineapple

poached dishes

RICE, e.g., black, brown, sushi

sauces, e.g., ponzu, teriyaki

scallions

sea vegetables, e.g., kelp, nori

sesame, e.g., oil, seeds

soups, e.g., miso

*SOY SAUCE

squash

steamed dishes

sweet potatoes

tea, e.g., green

tempura

vinegar, rice wine

wasabi

wine, rice, e.g., sake

yuzu

zucchini",,,,,,,,,,
JÍCAMA,[HEE-kah-mah],Flavor Affinities,"Techniques: bake, boil, braise, fry, raw, sauté, shred, steam, stir-fry","Dishes


Jícama Street Snack: Jícama, Cucumber, Pineapple, Fresh Lime, Crushed Guajillo Chile

—Frontera Grill (Chicago)","apples

arugula

AVOCADO

basil, e.g., Thai

beans, black

beans, green, e.g., haricots verts

beets

bell peppers, e.g., green, red

blackberries

broccoli

Brussels sprouts

cabbage, e.g., green, red

carrots

cayenne

Central American cuisines

chayote

chickpeas

*CHILES, e.g., jalapeño, serrano; chili pepper flakes and chili powder

CILANTRO

citrus

corn

crudités

CUCUMBERS

fruit

garlic

ginger

grapefruit

guacamole

horseradish

kumquats

lemon, e.g., juice

lemon, preserved

lettuce, mild, e.g., Bibb, butter, romaine

*LIME, e.g., juice

Malaysian cuisine

mangoes

melon

Mexican cuisine

millet

mint

mushrooms, e.g., button

mustard

noodles, e.g., rice

oil, e.g., chili, grapeseed, olive, peanut, sesame

olives

onions, e.g., green, red

ORANGES, e.g., fruit, juice

papaya

paprika

peanuts

pears

pecans

pepper, e.g., black, white

pineapple

pumpkin seeds

quinoa

radishes

relishes

rice

SALADS, e.g., fruit, green

salsas

salt

scallions

sesame, e.g., oil, seeds

SLAWS

South American cuisine

soy sauce

spinach

sprouts, e.g., sunflower

sugar

tacos

tangerines

tomatoes

vinaigrette

vinegar, e.g., balsamic, rice, white wine

watercress

watermelon

wheat berries

zucchini",Volume: quiet,"Tips: Peel before using. Slice thinly and serve instead of chips with guacamole, hummus, or other dips.",,Nutritional profile: 93% carbs / 5% protein / 2% fat,"Calories: 50 per 1-cup serving (raw, sliced)",Season: winter–spring,,Protein: 1 gram,,
JUICES (see also SMOOTHIES),,"Technique Tips: We love our Champion juicer (as do many of the other experts interviewed for this book) and know others who are happy with their Omega juicers. Diane Forley of Flourish makes juice in her Vitamix, adding a little water and then straining the juice through a nut milk bag—and finds the cleanup even easier than with a juicer.

Flavor Tips: Avoid mixing kale with romaine, which ends up “tasting like mud,” according to NYC’s Blossom owner Pamela Elizabeth. To add a sweet note, mix green juices with agave nectar, beets, coconut water, dates, fruit, honey, or maple syrup.",,,"Technique Tips: We love our Champion juicer (as do many of the other experts interviewed for this book) and know others who are happy with their Omega juicers. Diane Forley of Flourish makes juice in her Vitamix, adding a little water and then straining the juice through a nut milk bag—and finds the cleanup even easier than with a juicer.

Flavor Tips: Avoid mixing kale with romaine, which ends up “tasting like mud,” according to NYC’s Blossom owner Pamela Elizabeth. To add a sweet note, mix green juices with agave nectar, beets, coconut water, dates, fruit, honey, or maple syrup.",,,,,,,,,,
JUNIPER BERRIES,,"Flavor Affinities

Kaffir lime leaf + carrots + lemongrass + soups

Kaffir lime leaf + coconut milk + galangal + lemongrass

Kaffir lime leaf + coconut milk + peanuts + tofu

Kaffir lime leaf + ginger + lemongrass + lime

Kaffir lime leaf + rice + turmeric",,,"apples

artichokes, Jerusalem

bay leaf

bread

butter

cabbage, e.g., red

caraway seeds

cheese

choucroute

eggs

fennel

garlic

gin

marinades

oil, olive

pastas

pepper, black

pickles

potatoes

rice

rosemary

sage

sauerkraut

squash, winter

stuffings

sweet potatoes

vegetables, root

vinegar",Volume: moderate–loud,"Tips: While also used for its juice and zest, this fruit is especially valued for its aromatic leaves.",Possible substitute: lime zest,,,,,,,
KALE,,Flavor Affinities,"Techniques: blanch, boil (4–5 minutes), braise, grill, long cooking, marinate, parboil, puree, raw, sauté (about 8 minutes over medium heat), steam (4–5 minutes), stew, stir-fry","Dishes


Marinated Kale Salad: Chopped Marinated Kale, Olives, Avocado, Walnuts, and Creamy Garlic Dulse Dressing

—118 Degrees (California)



Kale Salad with Lemon, Serrano Chiles, and Mint

—ABC Kitchen (New York City)



Chiffonade of Kale with Miso-Marinated Tofu Feta, Diced Sun-Dried Tomatoes, and Toasted Walnuts, dressed with Olive Oil, Lemon, and Garlic

—Angelica Kitchen (New York City)



Thai Me Up: An All-Raw Entree: Delicate strands of Daikon Radish, Butternut Squash, and Carrot, on a bed of Garlic-Lemon Marinated Kale, dressed with Thai Tahini Sauce

—Angelica Kitchen (New York City)



Tuscan Kale Salad: Dried Cranberry, Pine Nut, Pecorino Romano

—Boulud Sud (New York City)



The Best Kale Salad: Baby Kale, Sunflower Seed Tahini, Avocado, Green Apples, Toasted Sunflower Seeds, Smoked Sea Salt

—The Butcher’s Daughter (New York City)



Spicy Kale Caesar Salad: Baby Kale, Avocado, Almond Parmesan, Toasted Almonds, Crispy Shallots, and 7-Grain Croutons

—The Butcher’s Daughter (New York City)



Kale and Radicchio Salad: Candied Walnut, Grapes, Shaved Pecorino, Sherry Vinaigrette

—Café Boulud (New York City)



Kale Spanakopita: Harissa Spiced Smoked Tomato Fondu / Mint Oil

—Crossroads (Los Angeles)



Red Chile Kale: Local Black Kale, Guajillo Chile Sauce, Local Potatoes, Wood-Grilled Onions, Anejo Cheese

—Frontera Grill (Chicago)



Raw Kale and Apples Salad: Marinated Kale, Apples, Red Cabbage, and Shaved Fennel tossed in a Cucumber Mint Dressing, topped with Beet Curls

—Great Sage (Clarksville, MD)



Grilled Spicy Kale: Chili, Garlic, Local Sunny Egg

—Hotel Fauchère (Milford, PA)



Warm Kale Salad, Avocado, Corn Chips, Spicy Carrots, Chipotle Dressing

—M.A.K.E. (Santa Monica)



Kale Salad with Basil, Almonds, Mango Pickle with Tahini Dressing and Sesame Wafer

—Oleana (Cambridge, MA)



Smoky Kale with Spanish Almonds, Smoked Tofu, and Roasted Garlic

—Plum Bistro (Seattle)



Raw Kale Salad with Ginger Oil, Tamari, Raw Tofu, Seaweed, and Lime Juice

—Plum Bistro (Seattle)



Rennie’s Peanut-Kale Salad: Hearty Kale, Carrots, Butternut Squash, and Red Peppers, in a Peanut-Cider Marinade

—Seva (Ann Arbor, MI)



Tuscan Black Kale, tossed with Lemon Juice, Olive Oil, Garlic, Chili Pepper Flakes, Grated Pecorino Tuscano Cheese, and Bread Crumbs

—True Food Kitchen (Phoenix)","almonds

anise

apples

arame

arugula

avocados

barley

basil

BEANS, e.g., adzuki, cranberry, green, kidney, mung, red, white

beets

bell peppers, e.g., red, esp. grilled

black-eyed peas

bok choy

bread crumbs, e.g., whole-grain

Brussels sprouts

bulgur

butter, brown

cabbage, e.g., red

capers

caraway seeds

carrots

cashews

casseroles

cauliflower

cayenne

celery

celery root

chard

CHEESE, e.g., cheddar, cottage, feta, goat, Gruyère, mozzarella, PARMESAN, pecorino, provolone, ricotta, ricotta salata, Romano, Swiss, vegan

cherries, dried

chestnuts

chickpeas

CHILES, e.g., chipotle, dried red, poblano, serrano; chili paste, chili pepper flakes, and chili pepper sauce

chips, e.g., dehydrated (not fried)

chives

cilantro

coconut milk

corn

cranberries, dried

cream

cumin

curries

dates

dill

dulse

eggs, e.g., frittatas, hard-boiled, omelets, poached, quiches

escarole

farro

fennel seeds

GARLIC

garlic scapes

ginger

grapefruit

gratins

greens, other, e.g., collard, dandelion, mustard

juices

kombu

leeks

LEMON, e.g., juice, zest

lentils

maple syrup

mint

miso

mizuna

MUSHROOMS, e.g., brown, porcini, portobello, shiitake

mustard, e.g., Dijon

noodles, Asian, e.g., soba, udon

nori

nuts

OIL, e.g., canola, flaxseed, grapeseed, nut, OLIVE, sesame, vegetable

olives, e.g., black

ONIONS, e.g., caramelized,RED, Spanish, spring, white, yellow

oranges, e.g., juice

oregano

papaya, e.g., green

paprika, e.g., smoked

parsley

pastas, e.g., lasagna

peanuts

pecans

pepper, black

pestos

pine nuts

pistachios

pizza

polenta

Portuguese cuisine

POTATOES

purees

quinoa

radicchio

radishes

raisins, e.g., brown, yellow

RICE, e.g., Arborio, brown, wild

risottos

rosemary

SALADS

SALT, e.g., kosher, pink, sea, smoked

savory

scallions

sea vegetables

seeds, e.g., hemp, pumpkin, sesame

sesame, e.g., sauce, seeds

shallots

slaws

smoothies

snow peas

SOUPS, e.g., bean, kale, minestrone, potato, vegetable, white bean

soy sauce

spelt

spinach

squash, summer and esp. winter, e.g., butternut, delicata, kabocha

stews, e.g., barley, winter

stir-fries

stock, vegetable

stuffings

sunflower seeds

sweet potatoes

tahini

tamari

thyme

tofu

tomatoes

turnips

VINEGAR, e.g., apple cider, BALSAMIC, brown rice, red wine, sherry, umeboshi

walnuts

yogurt

yuca",Volume: quiet–moderate,"Tips: Opt for organic kale. Many kale aficionados prefer the variety known as black kale (aka dinosaur kale or Tuscan kale), for its greater flavor complexity and silky texture. Macerate (and marinate) raw kale in Dijon mustard to flavor it and soften its texture.",,Nutritional profile: 72% carbs / 16% protein / 12% fat,"Calories: 35 per 1-cup serving (raw, chopped)",Season: autumn–spring,"Botanical relatives: broccoli, Brussels sprouts, cabbage, cauliflower, collard greens, horseradish, kohlrabi, land cress, radishes, rutabagas, turnips, watercress",Protein: 2 grams,,
"KALE, BLACK (aka CAVOLO NERO, DINOSAUR KALE, LACINATO KALE, or TUSCAN KALE)",,Flavor Affinities,,,"almonds

beans, e.g., borlotti, white

bread crumbs, e.g., whole-wheat

cheese, e.g., Parmesan, pecorino

chestnuts

chili pepper flakes

croutons, whole-grain

garlic

Italian cuisine, esp. Tuscan

lemon juice

millet

mushrooms, e.g., porcini, portobello

oil, olive

pastas, e.g., lasagna

potatoes

risottos

sage

salt

soups

tomatoes

vinegar, red wine",Volume: quieter than regular kale,,,,,,,,,
KAMUT,[kah-MOOT],Flavor Affinities,"Techniques: pressure-cook, slow cook, steam","Dishes


Winter Squash Kamut Risotto: Grilled Maitake Mushrooms, Cashew Cream, Fresh Shelling Beans, Roasted Blue Banana Squash, Braised Fennel and Leek, Fall Greens, Fried Capers, Lemon Zest, Porcini Oil, and Squash Tempura

—Millennium (San Francisco)","almonds

apples and apple juice

asparagus

avocado

baked goods, e.g., breads

basil

bay leaf

beans, e.g., kidney, lima

beets

bell peppers, e.g., red, yellow

broccoli and broccoli rabe

butter

buttermilk

cabbage, e.g., savoy

carrots

cashews

celery

celery root

cereals, hot breakfast

cheese, e.g., feta, goat, Parmesan

chervil

chickpeas

chili pepper flakes

chili, vegetarian

chives

cilantro

cinnamon

coriander

cumin

dill

escarole

fennel

fruit, dried, e.g., apricots, cranberries

GARLIC

ginger

grains, other, e.g., barley, quinoa, rice

honey

kefir

lemon, e.g., juice, zest

lentils, e.g., green

lime

lovage

marjoram

mushrooms, e.g., maitake, oyster

mustard, e.g., Dijon

nuts

oil, e.g., avocado, nut, olive

olives, e.g., kalamata

ONIONS, e.g., green, red

oranges

PARSLEY

parsnips

pecans

pepper, black

PILAFS

pizzas

pomegranates

raisins

rice, e.g., wild

risottos

sage

SALADS, e.g., grain, green, tomato, vegetable

salt, sea

scallions

SOUPS, e.g., minestrone

soy sauce

spinach

squash, e.g., winter, e.g., acorn

stews

stock, e.g., vegetable

stuffings

sugar snap peas

tabbouleh

thyme

tomatoes, tomato paste, and tomato puree

tomatoes, sun-dried

vanilla

vegetables, root

veggie burgers

vinegar, e.g., balsamic, brown rice, cider, wine

watercress

yogurt",Volume: quiet–moderate,,,Nutritional profile: 79% carbs / 16% protein / 5% fats,Calories: 250 per 1-cup serving (cooked),,"Botanical relatives: barley, corn, rye, spelt, triticale, wheat",Protein: 11 grams,,
KANTEN,,,,,"apples and APPLE JUICE

berries, e.g., blueberries, raspberries, strawberries

cherries and cherry juice

citrus, e.g., grapefruit, lemon

cranberries and cranberry juice

mangoes and mango juice

melons and melon juice

oranges, e.g., mandarins, and orange juice

peaches and peach juice

pears and pear juice

pomegranates and pomegranate juice

yuzu and yuzu juice",,Tips: Try substituting ginger or green tea for fruit juice. Serve with cashew cream or whipped cream and/or fruit. Vary kanten by the season: autumn: cranberries + pears winter: adzuki beans + chestnuts spring: berries + lemon summer: apples + peaches,,,,,,,,
KASHA (aka TOASTED BUCKWHEAT GROATS; see also BUCKWHEAT),,Flavor Affinities,,"Dishes


The Butcher’s Burger: Kasha Portobello Burger, Cashew Cheddar Cheese, Bibb Lettuce, Heirloom Tomatoes, Pickles and Special Sauce, served with Roasted Potato Wedges and Housemade Ketchup

—The Butcher’s Daughter (New York City)","apples

beans, green

beets

bell peppers

cabbage

carrots

casseroles

cauliflower

celery

chickpeas

chili pepper paste

corn

croquettes

cucumbers

dates

DILL

Eastern European cuisines

eggs, e.g., hard-boiled and grated

garlic

gravies, e.g., mushroom

jícama

kale

leeks

lemon, e.g., juice

lentils, e.g., red

mint

MUSHROOMS, e.g., portobello, shiitake

oil, e.g., olive, vegetable

onions

oranges

peas, split

parsley

PASTA, whole-grain, e.g., FARFALLE

pepper, black

pilafs

pistachios

rice, brown

Russian cuisine

salads, e.g., corn, grain

salt, sea

scallions

SOUPS, e.g., beet, cabbage, lentil, mushroom, split pea, vegetable

soy sauce

spinach

squash, acorn

stews

stock, vegetable

stuffed vegetables, e.g., cabbage, squash, tomatoes

stuffings

sunflower seeds

tofu

tomatoes

varnishkes, i.e., kasha + farfalle

vegetables, root

veggie burgers

vinegar, e.g., balsamic

walnuts

watercress

yogurt and frozen yogurt (e.g., as a topping)

zucchini",Volume: loud,,,Nutritional profile: 82% carbs / 12% protein / 6% fat,Calories: 155 per 1-cup serving (cooked),,,Protein: 6 grams,,
"KELP, KELP GRANULES, and KELP POWDER (see also ARAME, KOMBU, SEA VEGETABLES, and WAKAME)",,Flavor Affinities,,,"almonds, e.g., raw

barley

beans

bonito flakes, dried

carrots

chickpeas

chips, e.g., deep-fried

citrus, e.g., lemon, lime

“crabcakes,” meatless

daikon

DASHI

“fish filets” (i.e., with tofu)

garlic

ginger

grains

Japanese cuisine

kimchi

lemon

lettuces, e.g., romaine

lime

mirin

miso

mushrooms, e.g., oyster

nutritional yeast

oil, e.g., canola

onions

pepper, black

popcorn

potatoes

rice, e.g., sushi

salad dressings

salads, e.g., mock tuna

sauces, e.g., ponzu

sesame, e.g., oil, seeds

soups and chowders, e.g., oyster mushroom

soy sauce

spinach

stews

stir-fries

STOCKS, e.g., dashi

sugar

tamari

tempeh

tofu

vinegar, rice

zucchini","Volume: quiet/moderate (e.g., powder)–moderate/loud (e.g., granules)",,,Nutritional profile: 79% carbs / 11% fat / 10% protein,Calories: 5 per 2-tablespoon serving (raw),Tip: Season mashed chickpeas or tofu with kelp powder to give mock tuna salad a seafood-like flavor.,,,,
KIWI (aka KIWIFRUIT),,Flavor Affinities,,,"almonds

apples

avocado

bananas

berries

brown rice syrup

cashews

cereals, breakfast

cheese, cream

cherries

chocolate, e.g., dark, white

cinnamon

citrus

coconut

Cointreau

cream and ice cream

cucumbers

desserts

drinks

ginger

grapefruit

grapes

greens, e.g., baby

hazelnuts

honey

jícama

kebabs

Kirsch

lemon, e.g., juice, zest

LIME, e.g., juice, zest

lychees

macadamia nuts

mangoes

marinades

melon, e.g., honeydew

mint

nuts

orange, e.g., juice, zest

oranges, blood

papaya

passion fruit

pineapple

pistachios

pomegranates

poppy seeds

puddings

raspberries

rum

salad dressings

salads, fruit

sorbets

star fruit

strawberries

sugar, brown

tarts, fruit

vanilla

watermelon

wine, sparkling, e.g., Champagne; sweet, e.g., ice wine

yogurt",Volume: quiet–moderate,"Tip: When stored at room temperature, kiwi will continue to sweeten.",,Nutritional profile: 87% carbs / 7% fats / 6% protein,Calories: 110 per 1-cup serving (raw),Season: late autumn–spring,,Protein: 2 grams,,
